Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00866235644	0.785908988	0.785908988	0.785908988	0.785908988	0	0	0	0	0	0	3
2	7	0	0.0173247129	1.06032091	0.92311495	0.785908988	1.06032091	0.137205962	0	0	0	0	0	3
3	8	0	0.0259870693	1.290692	1.04564063	0.785908988	1.290692	0.259731645	0	0	0	0	0	3
4	9	0	0.0346494258	1.38546725	1.13059729	0.785908988	1.38546725	0.3446883	0	0	0	0	0	3
5	10	0	0.0433117822	1.39453384	1.1833846	0.785908988	1.39453384	0.39747561	0	0	0	0	0	3
6	11	0	0.0519741386	1.2931669	1.20168165	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
7	12	0	0.0606364951	1.14336046	1.19335005	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
8	13	0	0.0692988515	1.01348622	1.17086707	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
9	14	0	0.077961208	0.922333229	1.1432522	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
10	15	0	0.0866235644	0.851363041	1.11406328	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
11	16	0	0.0952859208	0.787453496	1.08437149	0.785908988	1.39453384	0.41577266	0	0	0	0	0	3
12	17	0	0.103948277	0.744108766	1.05601626	0.744108766	1.39453384	0.41577266	0	0	0	0	0	3
13	18	0	0.112610634	0.72638218	1.03065979	0.72638218	1.39453384	0.41577266	0	0	0	0	0	3
14	19	0	0.12127299	0.72000198	1.00846995	0.72000198	1.39453384	0.41577266	0	0	0	0	0	3
15	20	0	0.129935347	0.720741522	0.989288052	0.72000198	1.39453384	0.41577266	0	0	0	0	0	3
16	21	0	0.138597703	0.707576726	0.971681094	0.707576726	1.39453384	0.41577266	0	0	0	0	0	3
17	23	0	0.147260059	0.700770627	0.955745185	0.700770627	1.39453384	0.41577266	0	0	0	0	0	3
18	24	0	0.155922416	0.699157676	0.941490323	0.699157676	1.39453384	0.41577266	0	0	0	0	0	3
19	25	0	0.164584772	0.695198341	0.928527587	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
20	26	0	0.173247129	0.706215057	0.917411961	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
21	27	0	0.181909485	0.710501502	0.907559082	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
22	28	0	0.190571842	0.725736909	0.899294437	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
23	29	0	0.199234198	0.741066467	0.89241496	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
24	30	0	0.207896555	0.758490887	0.886834791	0.695198341	1.39453384	0.41577266	0	0	0	0	0	3
