Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.00866235644	0	0	0	0	0	0	0	0	0	0	3
2	7	0	0.0173247129	0	0	0	0	0	0	0	0	0	0	3
3	8	0	0.0259870693	0	0	0	0	0	0	0	0	0	0	3
4	9	0	0.0346494258	0	0	0	0	0	0	0	0	0	0	3
5	10	0	0.0433117822	0	0	0	0	0	0	0	0	0	0	3
6	11	0	0.0519741386	0	0	0	0	0	0	0	0	0	0	3
7	12	0	0.0606364951	0	0	0	0	0	0	0	0	0	0	3
8	13	0	0.0692988515	0	0	0	0	0	0	0	0	0	0	3
9	14	0	0.077961208	0	0	0	0	0	0	0	0	0	0	3
10	15	0	0.0866235644	0	0	0	0	0	0	0	0	0	0	3
11	16	0	0.0952859208	0	0	0	0	0	0	0	0	0	0	3
12	17	0	0.103948277	0	0	0	0	0	0	0	0	0	0	3
13	18	0	0.112610634	0	0	0	0	0	0	0	0	0	0	3
14	19	0	0.12127299	0	0	0	0	0	0	0	0	0	0	3
15	20	0	0.129935347	0	0	0	0	0	0	0	0	0	0	3
16	21	0	0.138597703	0	0	0	0	0	0	0	0	0	0	3
17	23	0	0.147260059	0	0	0	0	0	0	0	0	0	0	3
18	24	0	0.155922416	0	0	0	0	0	0	0	0	0	0	3
19	25	0	0.164584772	0	0	0	0	0	0	0	0	0	0	3
20	26	0	0.173247129	0	0	0	0	0	0	0	0	0	0	3
21	27	0	0.181909485	0	0	0	0	0	0	0	0	0	0	3
22	28	0	0.190571842	0	0	0	0	0	0	0	0	0	0	3
23	29	0	0.199234198	0	0	0	0	0	0	0	0	0	0	3
24	30	0	0.207896555	0	0	0	0	0	0	0	0	0	0	3
25	31	0	0.216558911	0	0	0	0	0	0	0	0	0	0	3
26	33	0	0.225221267	0	0	0	0	0	0	0	0	0	0	3
27	34	0	0.233883624	0	0	0	0	0	0	0	0	0	0	3
28	35	0	0.24254598	0	0	0	0	0	0	0	0	0	0	3
29	36	0	0.251208337	0	0	0	0	0	0	0	0	0	0	3
30	37	0	0.259870693	0	0	0	0	0	0	0	0	0	0	3
31	38	0	0.26853305	0	0	0	0	0	0	0	0	0	0	3
32	40	0	0.277195406	0	0	0	0	0	0	0	0	0	0	3
33	41	0	0.285857762	0	0	0	0	0	0	0	0	0	0	3
34	42	0	0.294520119	0	0	0	0	0	0	0	0	0	0	3
35	43	0	0.303182475	0	0	0	0	0	0	0	0	0	0	3
36	44	0	0.311844832	0	0	0	0	0	0	0	0	0	0	3
37	45	0	0.320507188	0	0	0	0	0	0	0	0	0	0	3
38	47	0	0.329169545	0	0	0	0	0	0	0	0	0	0	3
39	48	0	0.337831901	0	0	0	0	0	0	0	0	0	0	3
40	49	0	0.346494258	0	0	0	0	0	0	0	0	0	0	3
41	50	0	0.355156614	0	0	0	0	0	0	0	0	0	0	3
42	51	0	0.36381897	0	0	0	0	0	0	0	0	0	0	3
43	53	0	0.372481327	0	0	0	0	0	0	0	0	0	0	3
44	54	0	0.381143683	0	0	0	0	0	0	0	0	0	0	3
45	55	0	0.38980604	0	0	0	0	0	0	0	0	0	0	3
46	56	0	0.398468396	0	0	0	0	0	0	0	0	0	0	3
47	58	0	0.407130753	0	0	0	0	0	0	0	0	0	0	3
48	59	0	0.415793109	0	0	0	0	0	0	0	0	0	0	3
49	60	0	0.424455466	0	0	0	0	0	0	0	0	0	0	3
50	61	0	0.433117822	0	0	0	0	0	0	0	0	0	0	3
51	63	0	0.441780178	0	0	0	0	0	0	0	0	0	0	3
52	64	0	0.450442535	0	0	0	0	0	0	0	0	0	0	3
53	65	0	0.459104891	0	0	0	0	0	0	0	0	0	0	3
54	66	0	0.467767248	0	0	0	0	0	0	0	0	0	0	3
55	67	0	0.476429604	0	0	0	0	0	0	0	0	0	0	3
56	69	0	0.485091961	0	0	0	0	0	0	0	0	0	0	3
57	70	0	0.493754317	0	0	0	0	0	0	0	0	0	0	3
58	71	0	0.502416673	0	0	0	0	0	0	0	0	0	0	3
59	72	0	0.51107903	0	0	0	0	0	0	0	0	0	0	3
60	73	0	0.519741386	0	0	0	0	0	0	0	0	0	0	3
61	74	0	0.528403743	0	0	0	0	0	0	0	0	0	0	3
62	76	0	0.537066099	0	0	0	0	0	0	0	0	0	0	3
63	77	0	0.545728456	0	0	0	0	0	0	0	0	0	0	3
64	78	0	0.554390812	0	0	0	0	0	0	0	0	0	0	3
65	79	0	0.563053169	0	0	0	0	0	0	0	0	0	0	3
66	80	0	0.571715525	0	0	0	0	0	0	0	0	0	0	3
67	81	0	0.580377881	0	0	0	0	0	0	0	0	0	0	3
68	83	0	0.589040238	0	0	0	0	0	0	0	0	0	0	3
69	84	0	0.597702594	0	0	0	0	0	0	0	0	0	0	3
70	85	0	0.606364951	0	0	0	0	0	0	0	0	0	0	3
71	86	0	0.615027307	0	0	0	0	0	0	0	0	0	0	3
72	87	0	0.623689664	0	0	0	0	0	0	0	0	0	0	3
73	88	0	0.63235202	0	0	0	0	0	0	0	0	0	0	3
74	89	0	0.641014377	0	0	0	0	0	0	0	0	0	0	3
75	91	0	0.649676733	0	0	0	0	0	0	0	0	0	0	3
76	92	0	0.658339089	0	0	0	0	0	0	0	0	0	0	3
77	93	0	0.667001446	0	0	0	0	0	0	0	0	0	0	3
78	94	0	0.675663802	0	0	0	0	0	0	0	0	0	0	3
79	95	0	0.684326159	0	0	0	0	0	0	0	0	0	0	3
80	96	0	0.692988515	0	0	0	0	0	0	0	0	0	0	3
81	97	0	0.701650872	0	0	0	0	0	0	0	0	0	0	3
82	98	0	0.710313228	0	0	0	0	0	0	0	0	0	0	3
83	99	0	0.718975584	0	0	0	0	0	0	0	0	0	0	3
84	101	0	0.727637941	0	0	0	0	0	0	0	0	0	0	3
85	102	0	0.736300297	0	0	0	0	0	0	0	0	0	0	3
86	103	0	0.744962654	0	0	0	0	0	0	0	0	0	0	3
87	104	0	0.75362501	0	0	0	0	0	0	0	0	0	0	3
88	105	0	0.762287367	0	0	0	0	0	0	0	0	0	0	3
89	106	0	0.770949723	0	0	0	0	0	0	0	0	0	0	3
90	107	0	0.77961208	0	0	0	0	0	0	0	0	0	0	3
91	108	0	0.788274436	0	0	0	0	0	0	0	0	0	0	3
92	110	0	0.796936792	0	0	0	0	0	0	0	0	0	0	3
93	111	0	0.805599149	0	0	0	0	0	0	0	0	0	0	3
94	112	0	0.814261505	0	0	0	0	0	0	0	0	0	0	3
95	113	0	0.822923862	0	0	0	0	0	0	0	0	0	0	3
96	114	0	0.831586218	0	0	0	0	0	0	0	0	0	0	3
97	115	0	0.840248575	0	0	0	0	0	0	0	0	0	0	3
98	116	0	0.848910931	0	0	0	0	0	0	0	0	0	0	3
99	117	0	0.857573287	0	0	0	0	0	0	0	0	0	0	3
100	119	0	0.866235644	0	0	0	0	0	0	0	0	0	0	3
101	122	0	0.874898	0	0	0	0	0	0	0	0	0	0	3
102	123	0	0.883560357	0	0	0	0	0	0	0	0	0	0	3
103	124	0	0.892222713	0	0	0	0	0	0	0	0	0	0	3
104	125	0	0.90088507	0	0	0	0	0	0	0	0	0	0	3
105	126	0	0.909547426	0	0	0	0	0	0	0	0	0	0	3
106	127	0	0.918209783	0	0	0	0	0	0	0	0	0	0	3
107	129	0	0.926872139	0	0	0	0	0	0	0	0	0	0	3
108	130	0	0.935534495	0	0	0	0	0	0	0	0	0	0	3
109	131	0	0.944196852	0	0	0	0	0	0	0	0	0	0	3
110	132	0	0.952859208	0	0	0	0	0	0	0	0	0	0	3
111	133	0	0.961521565	0	0	0	0	0	0	0	0	0	0	3
112	134	0	0.970183921	0	0	0	0	0	0	0	0	0	0	3
113	136	0	0.978846278	0	0	0	0	0	0	0	0	0	0	3
114	137	0	0.987508634	0	0	0	0	0	0	0	0	0	0	3
115	138	0	0.996170991	0	0	0	0	0	0	0	0	0	0	3
116	139	0	1.00483335	0	0	0	0	0	5e-06	0	0	0	0	3
117	140	0	1.0134957	0	0	0	0	0	5e-06	0	0	0	0	3
118	141	0	1.02215806	0	0	0	0	0	5e-06	0	0	0	0	3
119	142	0	1.03082042	0	0	0	0	0	5e-06	0	0	0	0	3
120	143	0	1.03948277	0	0	0	0	0	5e-06	0	0	0	0	3
121	145	0	1.04814513	0	0	0	0	0	5e-06	0	0	0	0	3
122	146	0	1.05680749	0	0	0	0	0	5e-06	0	0	0	0	3
123	147	0	1.06546984	0	0	0	0	0	5e-06	0	0	0	0	3
124	148	0	1.0741322	0	0	0	0	0	5e-06	0	0	0	0	3
125	149	0	1.08279455	0	0	0	0	0	5e-06	0	0	0	0	3
126	150	0	1.09145691	0	0	0	0	0	5e-06	0	0	0	0	3
127	151	0	1.10011927	0	0	0	0	0	5e-06	0	0	0	0	3
128	152	0	1.10878162	0	0	0	0	0	5e-06	0	0	0	0	3
129	153	0	1.11744398	0	0	0	0	0	5e-06	0	0	0	0	3
130	155	0	1.12610634	0	0	0	0	0	5e-06	0	0	0	0	3
131	156	0	1.13476869	0	0	0	0	0	5e-06	0	0	0	0	3
132	157	0	1.14343105	0	0	0	0	0	5e-06	0	0	0	0	3
133	158	0	1.15209341	0	0	0	0	0	5e-06	0	0	0	0	3
134	159	0	1.16075576	0	0	0	0	0	5e-06	0	0	0	0	3
135	160	0	1.16941812	0	0	0	0	0	5e-06	0	0	0	0	3
136	161	0	1.17808048	0	0	0	0	0	5e-06	0	0	0	0	3
137	162	0	1.18674283	0	0	0	0	0	5e-06	0	0	0	0	3
138	163	0	1.19540519	0	0	0	0	0	5e-06	0	0	0	0	3
139	164	0	1.20406755	0	0	0	0	0	5e-06	0	0	0	0	3
140	166	0	1.2127299	0	0	0	0	0	5e-06	0	0	0	0	3
141	167	0	1.22139226	0	0	0	0	0	5e-06	0	0	0	0	3
142	168	0	1.23005461	0	0	0	0	0	5e-06	0	0	0	0	3
143	169	0	1.23871697	0	0	0	0	0	5e-06	0	0	0	0	3
144	170	0	1.24737933	0	0	0	0	0	5e-06	0	0	0	0	3
145	171	0	1.25604168	0	0	0	0	0	5e-06	0	0	0	0	3
146	172	0	1.26470404	0	0	0	0	0	5e-06	0	0	0	0	3
147	173	0	1.2733664	0	0	0	0	0	5e-06	0	0	0	0	3
148	174	0	1.28202875	0	0	0	0	0	5e-06	0	0	0	0	3
149	175	0	1.29069111	0	0	0	0	0	5e-06	0	0	0	0	3
150	177	0	1.29935347	0	0	0	0	0	5e-06	0	0	0	0	3
151	178	0	1.30801582	0	0	0	0	0	5e-06	0	0	0	0	3
152	179	0	1.31667818	0	0	0	0	0	5e-06	0	0	0	0	3
153	180	0	1.32534054	0	0	0	0	0	5e-06	0	0	0	0	3
154	181	0	1.33400289	0	0	0	0	0	5e-06	0	0	0	0	3
155	182	0	1.34266525	0	0	0	0	0	5e-06	0	0	0	0	3
156	183	0	1.3513276	0	0	0	0	0	5e-06	0	0	0	0	3
157	184	0	1.35998996	0	0	0	0	0	5e-06	0	0	0	0	3
158	185	0	1.36865232	0	0	0	0	0	5e-06	0	0	0	0	3
