Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.00990857748	-237.800304	-237.800304	-237.800304	-237.800304	0	0.5	0	0	1	0	3
2	5	0	0.019817155	-317.221096	-277.5107	-317.221096	-237.800304	39.710396	0.5	0	0	1	0	3
3	5	0	0.0297257324	-386.585408	-313.868936	-386.585408	-237.800304	76.0686318	0.5	0	0	1	0	3
4	6	0	0.0396343099	-418.440444	-340.011813	-418.440444	-237.800304	102.211509	0.5	0	0	1	0	3
5	7	0	0.0495428874	-425.293898	-357.06823	-425.293898	-237.800304	119.267926	0.5	0	0	1	0	3
6	7	0	0.0594514649	-397.701072	-363.84037	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
7	8	0	0.0693600424	-352.520277	-362.223214	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
8	9	0	0.0792686198	-312.076303	-355.95485	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
9	9	0	0.0891771973	-283.348295	-347.887455	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
10	10	0	0.0990857748	-260.816706	-339.18038	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
11	10	0	0.108994352	-240.434549	-330.203486	-425.293898	-237.800304	126.040066	0.5	0	0	1	0	3
12	11	0	0.11890293	-226.694757	-321.577759	-425.293898	-226.694757	126.040066	0.5	0	0	1	0	3
13	12	0	0.128811507	-221.237002	-313.859239	-425.293898	-221.237002	126.040066	0.5	0	0	1	0	3
14	12	0	0.138720085	-219.422952	-307.11379	-425.293898	-219.422952	126.040066	0.5	0	0	1	0	3
15	13	0	0.148628662	-219.947917	-301.302732	-425.293898	-219.422952	126.040066	0.5	0	0	1	0	3
16	14	0	0.15853724	-215.992741	-295.970858	-425.293898	-215.992741	126.040066	0.5	0	0	1	0	3
17	14	0	0.168445817	-214.000018	-291.149043	-425.293898	-214.000018	126.040066	0.5	0	0	1	0	3
18	15	0	0.178354395	-213.605694	-286.84108	-425.293898	-213.605694	126.040066	0.5	0	0	1	0	3
19	16	0	0.188262972	-212.554849	-282.931278	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
20	16	0	0.19817155	-216.244649	-279.596946	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
21	17	0	0.208080127	-217.642111	-276.646716	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
22	18	0	0.217988705	-222.627198	-274.191284	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
23	19	0	0.227897282	-227.218295	-272.14898	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
24	19	0	0.23780586	-231.753139	-270.46582	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
25	20	0	0.247714437	-235.001667	-269.047254	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
26	21	0	0.257623014	-235.488509	-267.756533	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
27	22	0	0.267531592	-231.245152	-266.404259	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
28	23	0	0.277440169	-225.057782	-264.927599	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
29	23	0	0.287348747	-218.986254	-263.343415	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
30	24	0	0.297257324	-213.51237	-261.68238	-425.293898	-212.554849	126.040066	0.5	0	0	1	0	3
31	25	0	0.307165902	-207.776738	-259.943489	-425.293898	-207.776738	126.040066	0.5	0	0	1	0	3
32	25	0	0.317074479	-202.303378	-258.142235	-425.293898	-202.303378	126.040066	0.5	0	0	1	0	3
33	26	0	0.326983057	-197.417795	-256.302101	-425.293898	-197.417795	126.040066	0.5	0	0	1	0	3
34	27	0	0.336891634	-192.689029	-254.431128	-425.293898	-192.689029	126.040066	0.5	0	0	1	0	3
35	27	0	0.346800212	-188.572809	-252.549462	-425.293898	-188.572809	126.040066	0.5	0	0	1	0	3
36	28	0	0.356708789	-184.758986	-250.666393	-425.293898	-184.758986	126.040066	0.5	0	0	1	0	3
37	29	0	0.366617367	-180.753153	-248.776846	-425.293898	-180.753153	126.040066	0.5	0	0	1	0	3
38	30	0	0.376525944	-176.915598	-246.88576	-425.293898	-176.915598	126.040066	0.5	0	0	1	0	3
39	30	0	0.386434522	-173.178861	-244.99584	-425.293898	-173.178861	126.040066	0.5	0	0	1	0	3
40	31	0	0.396343099	-169.8539	-243.117291	-425.293898	-169.8539	126.040066	0.5	0	0	1	0	3
41	32	0	0.406251677	-166.716355	-241.253854	-425.293898	-166.716355	126.040066	0.5	0	0	1	0	3
42	32	0	0.416160254	-163.380046	-239.399716	-425.293898	-163.380046	126.040066	0.5	0	0	1	0	3
43	33	0	0.426068832	-160.804739	-237.571925	-425.293898	-160.804739	126.268445	0.5	0	0	1	0	3
44	34	0	0.435977409	-157.953526	-235.762416	-425.293898	-157.953526	128.077954	0.5	0	0	1	0	3
45	35	0	0.445885987	-156.827184	-234.0083	-425.293898	-156.827184	129.83207	0.5	0	0	1	0	3
46	35	0	0.455794564	-155.929885	-232.310943	-425.293898	-155.929885	131.529427	0.5	0	0	1	0	3
47	36	0	0.465703142	-155.191814	-230.670111	-425.293898	-155.191814	133.17026	0.5	0	0	1	0	3
48	37	0	0.475611719	-154.862081	-229.090777	-425.293898	-154.862081	134.749594	0.5	0	0	1	0	3
49	37	0	0.485520297	-154.945561	-227.577609	-425.293898	-154.862081	136.262761	0.5	0	0	1	0	3
50	38	0	0.495428874	-155.040833	-226.126874	-425.293898	-154.862081	137.713497	0.5	0	0	1	0	3
51	39	0	0.505337451	-154.353975	-224.719562	-425.293898	-154.353975	139.120808	0.5	0	0	1	0	3
52	39	0	0.515246029	-154.342912	-223.083142	-425.293898	-154.342912	140.757228	0.5	0	0	1	0	3
53	40	0	0.525154606	-154.250026	-219.887631	-425.293898	-154.250026	143.952739	0.5	0	0	1	0	3
54	41	0	0.535063184	-154.311068	-215.333232	-425.293898	-154.250026	148.507138	0.5	0	0	1	0	3
55	41	0	0.544971761	-154.260867	-210.153241	-425.293898	-154.250026	153.68713	0.5	0	0	1	0	3
56	42	0	0.554880339	-153.891298	-204.831621	-397.701072	-153.891298	159.008749	0.5	0	0	1	0	3
57	43	0	0.564788916	-153.792266	-200.049096	-352.520277	-153.792266	162.174119	0.5	0	0	1	0	3
58	44	0	0.574697494	-153.819148	-196.152995	-312.076303	-153.792266	158.284037	0.5	0	0	1	0	3
59	44	0	0.584606071	-153.797543	-193.04949	-283.348295	-153.792266	129.556029	0.5	0	0	1	0	3
60	45	0	0.594514649	-153.939485	-190.512062	-260.816706	-153.792266	107.02444	0.5	0	0	1	0	3
61	46	0	0.604423226	-153.990242	-188.417426	-240.434549	-153.792266	86.6422825	0.5	0	0	1	0	3
62	47	0	0.614331804	-154.157126	-186.725711	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
63	47	0	0.624240381	-154.287516	-185.305962	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
64	48	0	0.634148959	-154.468397	-183.996773	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
65	49	0	0.644057536	-154.591175	-182.725562	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
66	50	0	0.653966114	-154.605666	-181.444341	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
67	50	0	0.663874691	-154.650764	-180.241558	-235.488509	-153.792266	81.696243	0.5	0	0	1	0	3
