Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0115666934	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0231333869	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0347000803	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0462667737	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0578334671	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0694001606	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.080966854	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.0925335474	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.104100241	0	0	0	0	0	0	0	0	0	0	3
10	7	0	0.115666934	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.127233628	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.138800321	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.150367015	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.161933708	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.173500401	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.185067095	0	0	0	0	0	0	0	0	0	0	3
17	10	0	0.196633788	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.208200482	0	0	0	0	0	0	0	0	0	0	3
19	11	0	0.219767175	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.231333869	0	0	0	0	0	0	0	0	0	0	3
21	12	0	0.242900562	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.254467255	0	0	0	0	0	0	0	0	0	0	3
23	13	0	0.266033949	0	0	0	0	0	0	0	0	0	0	3
24	14	0	0.277600642	0	0	0	0	0	0	0	0	0	0	3
25	14	0	0.289167336	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.300734029	0	0	0	0	0	0	0	0	0	0	3
27	16	0	0.312300723	0	0	0	0	0	0	0	0	0	0	3
28	16	0	0.323867416	0	0	0	0	0	0	0	0	0	0	3
29	17	0	0.335434109	0	0	0	0	0	0	0	0	0	0	3
30	17	0	0.347000803	0	0	0	0	0	0	0	0	0	0	3
31	18	0	0.358567496	0	0	0	0	0	0	0	0	0	0	3
32	18	0	0.37013419	0	0	0	0	0	0	0	0	0	0	3
33	19	0	0.381700883	0	0	0	0	0	0	0	0	0	0	3
34	19	0	0.393267577	0	0	0	0	0	0	0	0	0	0	3
35	20	0	0.40483427	0	0	0	0	0	0	0	0	0	0	3
36	21	0	0.416400963	0	0	0	0	0	0	0	0	0	0	3
37	21	0	0.427967657	0	0	0	0	0	0	0	0	0	0	3
38	22	0	0.43953435	0	0	0	0	0	0	0	0	0	0	3
39	22	0	0.451101044	0	0	0	0	0	0	0	0	0	0	3
40	23	0	0.462667737	0	0	0	0	0	0	0	0	0	0	3
41	23	0	0.474234431	0	0	0	0	0	0	0	0	0	0	3
42	24	0	0.485801124	0	0	0	0	0	0	0	0	0	0	3
43	24	0	0.497367817	0	0	0	0	0	0	0	0	0	0	3
44	25	0	0.508934511	0	0	0	0	0	0	0	0	0	0	3
45	26	0	0.520501204	0	0	0	0	0	0	0	0	0	0	3
46	26	0	0.532067898	0	0	0	0	0	0	0	0	0	0	3
47	27	0	0.543634591	0	0	0	0	0	0	0	0	0	0	3
48	28	0	0.555201285	0	0	0	0	0	0	0	0	0	0	3
49	28	0	0.566767978	0	0	0	0	0	0	0	0	0	0	3
50	29	0	0.578334671	0	0	0	0	0	0	0	0	0	0	3
51	29	0	0.589901365	0	0	0	0	0	0	0	0	0	0	3
52	30	0	0.601468058	0	0	0	0	0	0	0	0	0	0	3
53	31	0	0.613034752	0	0	0	0	0	0	0	0	0	0	3
54	31	0	0.624601445	0	0	0	0	0	0	0	0	0	0	3
55	32	0	0.636168139	0	0	0	0	0	0	0	0	0	0	3
56	32	0	0.647734832	0	0	0	0	0	0	0	0	0	0	3
57	33	0	0.659301525	0	0	0	0	0	0	0	0	0	0	3
58	33	0	0.670868219	0	0	0	0	0	0	0	0	0	0	3
59	34	0	0.682434912	0	0	0	0	0	0	0	0	0	0	3
60	35	0	0.694001606	0	0	0	0	0	0	0	0	0	0	3
61	35	0	0.705568299	0	0	0	0	0	0	0	0	0	0	3
62	36	0	0.717134993	0	0	0	0	0	0	0	0	0	0	3
63	36	0	0.728701686	0	0	0	0	0	0	0	0	0	0	3
64	37	0	0.740268379	0	0	0	0	0	0	0	0	0	0	3
65	38	0	0.751835073	0	0	0	0	0	0	0	0	0	0	3
66	38	0	0.763401766	0	0	0	0	0	0	0	0	0	0	3
67	39	0	0.77496846	0	0	0	0	0	0	0	0	0	0	3
68	39	0	0.786535153	0	0	0	0	0	0	0	0	0	0	3
69	40	0	0.798101847	0	0	0	0	0	0	0	0	0	0	3
70	41	0	0.80966854	0	0	0	0	0	0	0	0	0	0	3
71	42	0	0.821235233	0	0	0	0	0	0	0	0	0	0	3
72	42	0	0.832801927	0	0	0	0	0	0	0	0	0	0	3
73	43	0	0.84436862	0	0	0	0	0	0	0	0	0	0	3
74	43	0	0.855935314	0	0	0	0	0	0	0	0	0	0	3
75	44	0	0.867502007	0	0	0	0	0	0	0	0	0	0	3
76	45	0	0.879068701	0	0	0	0	0	0	0	0	0	0	3
77	45	0	0.890635394	0	0	0	0	0	0	0	0	0	0	3
78	46	0	0.902202087	0	0	0	0	0	0	0	0	0	0	3
79	46	0	0.913768781	0	0	0	0	0	0	0	0	0	0	3
80	47	0	0.925335474	0	0	0	0	0	0	0	0	0	0	3
81	47	0	0.936902168	0	0	0	0	0	0	0	0	0	0	3
82	48	0	0.948468861	0	0	0	0	0	0	0	0	0	0	3
83	49	0	0.960035555	0	0	0	0	0	0	0	0	0	0	3
84	49	0	0.971602248	0	0	0	0	0	0	0	0	0	0	3
85	50	0	0.983168941	0	0	0	0	0	0	0	0	0	0	3
86	51	0	0.994735635	0	0	0	0	0	0	0	0	0	0	3
87	51	0	1.00630233	0	0	0	0	0	0.001	0	0	0	0	3
