Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0115666934	101327.259	101327.259	101327.259	101327.259	0	0	0	0	0	0	3
2	3	0	0.0231333869	101328.87	101328.064	101327.259	101328.87	0.805478674	0	0	0	0	0	3
3	3	0	0.0347000803	101329.595	101328.575	101327.259	101329.595	1.31567839	0	0	0	0	0	3
4	4	0	0.0462667737	101329.844	101328.892	101327.259	101329.844	1.63294111	0	0	0	0	0	3
5	4	0	0.0578334671	101330.751	101329.264	101327.259	101330.751	2.00475225	0	0	0	0	0	3
6	5	0	0.0694001606	101332.847	101329.861	101327.259	101332.847	2.60194011	0	0	0	0	0	3
7	5	0	0.080966854	101335.765	101330.704	101327.259	101335.765	3.44545185	0	0	0	0	0	3
8	6	0	0.0925335474	101338.666	101331.7	101327.259	101338.666	4.44069117	0	0	0	0	0	3
9	6	0	0.104100241	101340.834	101332.714	101327.259	101340.834	5.45557925	0	0	0	0	0	3
10	7	0	0.115666934	101341.676	101333.611	101327.259	101341.676	6.35174035	0	0	0	0	0	3
11	7	0	0.127233628	101339.48	101334.144	101327.259	101341.676	6.88530101	0	0	0	0	0	3
12	8	0	0.138800321	101334.227	101334.151	101327.259	101341.676	6.89223649	0	0	0	0	0	3
13	8	0	0.150367015	101326.764	101333.583	101326.764	101341.676	6.89223649	0	0	0	0	0	3
14	9	0	0.161933708	101318.07	101332.475	101318.07	101341.676	6.89223649	0	0	0	0	0	3
15	9	0	0.173500401	101308.981	101330.909	101308.981	101341.676	6.89223649	0	0	0	0	0	3
16	10	0	0.185067095	101296.841	101328.779	101296.841	101341.676	6.89223649	0	0	0	0	0	3
17	10	0	0.196633788	101289.067	101326.443	101289.067	101341.676	7.70779196	0	0	0	0	0	3
18	11	0	0.208200482	101287.56	101324.283	101287.56	101341.676	9.86797115	0	0	0	0	0	3
19	11	0	0.219767175	101292.292	101322.599	101287.56	101341.676	11.5517298	0	0	0	0	0	3
20	12	0	0.231333869	101301.466	101321.543	101287.56	101341.676	12.6083873	0	0	0	0	0	3
21	12	0	0.242900562	101319.826	101321.461	101287.56	101341.676	12.6901373	0	0	0	0	0	3
22	13	0	0.254467255	101335.846	101322.115	101287.56	101341.676	12.6901373	0	0	0	0	0	3
23	13	0	0.266033949	101345.099	101323.114	101287.56	101345.099	12.6901373	0	0	0	0	0	3
24	14	0	0.277600642	101346.378	101324.083	101287.56	101346.378	12.6901373	0	0	0	0	0	3
25	14	0	0.289167336	101340.558	101324.742	101287.56	101346.378	12.6901373	0	0	0	0	0	3
26	15	0	0.300734029	101327.579	101324.851	101287.56	101346.378	12.6901373	0	0	0	0	0	3
27	16	0	0.312300723	101318.827	101324.628	101287.56	101346.378	12.6901373	0	0	0	0	0	3
28	16	0	0.323867416	101316.568	101324.34	101287.56	101346.378	12.6901373	0	0	0	0	0	3
29	17	0	0.335434109	101319.001	101324.156	101287.56	101346.378	12.6901373	0	0	0	0	0	3
30	17	0	0.347000803	101322.825	101324.112	101287.56	101346.378	12.6901373	0	0	0	0	0	3
31	18	0	0.358567496	101325.757	101324.165	101287.56	101346.378	12.6901373	0	0	0	0	0	3
32	18	0	0.37013419	101326.215	101324.229	101287.56	101346.378	12.6901373	0	0	0	0	0	3
33	19	0	0.381700883	101325.701	101324.274	101287.56	101346.378	12.6901373	0	0	0	0	0	3
34	19	0	0.393267577	101325.209	101324.301	101287.56	101346.378	12.6901373	0	0	0	0	0	3
35	20	0	0.40483427	101325.028	101324.322	101287.56	101346.378	12.6901373	0	0	0	0	0	3
36	21	0	0.416400963	101325.054	101324.342	101287.56	101346.378	12.6901373	0	0	0	0	0	3
37	21	0	0.427967657	101325.1	101324.363	101287.56	101346.378	12.6901373	0	0	0	0	0	3
38	22	0	0.43953435	101325.059	101324.381	101287.56	101346.378	12.6901373	0	0	0	0	0	3
39	22	0	0.451101044	101324.981	101324.397	101287.56	101346.378	12.6901373	0	0	0	0	0	3
40	23	0	0.462667737	101324.881	101324.409	101287.56	101346.378	12.6901373	0	0	0	0	0	3
41	23	0	0.474234431	101324.838	101324.419	101287.56	101346.378	12.6901373	0	0	0	0	0	3
42	24	0	0.485801124	101324.786	101324.428	101287.56	101346.378	12.6901373	0	0	0	0	0	3
43	24	0	0.497367817	101324.744	101324.435	101287.56	101346.378	12.6901373	0	0	0	0	0	3
44	25	0	0.508934511	101324.712	101324.441	101287.56	101346.378	12.6901373	0	0	0	0	0	3
45	26	0	0.520501204	101324.678	101324.383	101287.56	101346.378	12.6901373	0	0	0	0	0	3
46	26	0	0.532067898	101324.672	101324.287	101287.56	101346.378	12.6901373	0	0	0	0	0	3
47	27	0	0.543634591	101324.676	101324.176	101287.56	101346.378	12.6901373	0	0	0	0	0	3
48	28	0	0.555201285	101324.706	101324.059	101287.56	101346.378	12.6901373	0	0	0	0	0	3
49	28	0	0.566767978	101324.733	101323.922	101287.56	101346.378	12.6901373	0	0	0	0	0	3
50	29	0	0.578334671	101324.758	101323.738	101287.56	101346.378	12.6901373	0	0	0	0	0	3
51	29	0	0.589901365	101324.772	101323.488	101287.56	101346.378	12.6901373	0	0	0	0	0	3
52	30	0	0.601468058	101324.79	101323.173	101287.56	101346.378	12.6901373	0	0	0	0	0	3
53	31	0	0.613034752	101324.808	101322.809	101287.56	101346.378	12.6901373	0	0	0	0	0	3
54	31	0	0.624601445	101324.818	101322.426	101287.56	101346.378	12.6901373	0	0	0	0	0	3
55	32	0	0.636168139	101324.836	101322.093	101287.56	101346.378	12.6901373	0	0	0	0	0	3
56	32	0	0.647734832	101324.855	101321.88	101287.56	101346.378	12.1219358	0	0	0	0	0	3
57	33	0	0.659301525	101324.877	101321.837	101287.56	101346.378	11.013866	0	0	0	0	0	3
58	33	0	0.670868219	101324.905	101321.992	101287.56	101346.378	9.44758786	0	0	0	0	0	3
59	34	0	0.682434912	101324.924	101322.355	101287.56	101346.378	7.3183511	0	0	0	0	0	3
60	35	0	0.694001606	101324.945	101322.993	101287.56	101346.378	4.98234538	0	0	0	0	0	3
61	35	0	0.705568299	101324.962	101323.809	101287.56	101346.378	3.39055674	0	0	0	0	0	3
62	36	0	0.717134993	101324.975	101324.66	101292.292	101346.378	3.39055674	0	0	0	0	0	3
63	36	0	0.728701686	101324.98	101325.402	101301.466	101346.378	3.94151925	0	0	0	0	0	3
64	37	0	0.740268379	101324.983	101325.937	101316.568	101346.378	4.47599367	0	0	0	0	0	3
65	38	0	0.751835073	101324.986	101326.054	101316.568	101346.378	4.21721983	0	0	0	0	0	3
66	38	0	0.763401766	101324.98	101325.807	101316.568	101346.378	4.21721983	0	0	0	0	0	3
67	39	0	0.77496846	101324.977	101325.35	101316.568	101346.378	4.21721983	0	0	0	0	0	3
68	39	0	0.786535153	101324.973	101324.863	101316.568	101340.558	4.21721983	0	0	0	0	0	3
69	40	0	0.798101847	101324.951	101324.509	101316.568	101327.579	4.21721983	0	0	0	0	0	3
70	41	0	0.80966854	101324.935	101324.449	101316.568	101326.215	4.21721983	0	0	0	0	0	3
71	42	0	0.821235233	101324.913	101324.587	101316.568	101326.215	4.21721983	0	0	0	0	0	3
72	42	0	0.832801927	101324.901	101324.776	101319.001	101326.215	4.21721983	0	0	0	0	0	3
73	43	0	0.84436862	101324.875	101324.91	101322.825	101326.215	3.3901874	0	0	0	0	0	3
74	43	0	0.855935314	101324.863	101324.956	101324.672	101326.215	1.54327024	0	0	0	0	0	3
75	44	0	0.867502007	101324.842	101324.935	101324.672	101326.215	1.54327024	0	0	0	0	0	3
76	45	0	0.879068701	101324.844	101324.904	101324.672	101325.701	1.02945173	0	0	0	0	0	3
77	45	0	0.890635394	101324.826	101324.884	101324.672	101325.209	0.536850102	0	0	0	0	0	3
78	46	0	0.902202087	101324.829	101324.876	101324.672	101325.1	0.427985787	0	0	0	0	0	3
79	46	0	0.913768781	101324.812	101324.871	101324.672	101325.1	0.427985787	0	0	0	0	0	3
80	47	0	0.925335474	101324.817	101324.865	101324.672	101325.1	0.427985787	0	0	0	0	0	3
81	47	0	0.936902168	101324.798	101324.859	101324.672	101325.059	0.387397288	0	0	0	0	0	3
82	48	0	0.948468861	101324.807	101324.853	101324.672	101324.986	0.313863001	0	0	0	0	0	3
83	49	0	0.960035555	101324.791	101324.848	101324.672	101324.986	0.313863001	0	0	0	0	0	3
84	49	0	0.971602248	101324.801	101324.847	101324.672	101324.986	0.313863001	0	0	0	0	0	3
85	50	0	0.983168941	101324.79	101324.846	101324.672	101324.986	0.313863001	0	0	0	0	0	3
86	51	0	0.994735635	101324.792	101324.846	101324.672	101324.986	0.313863001	0	0	0	0	0	3
87	51	0	1.00630233	101324.789	101324.847	101324.672	101324.986	0.313863001	1.7645281	0	0	0	0	3
