Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0115666934	293.199995	293.199995	293.199995	293.199995	0	0	0	0	0	0	3
2	3	0	0.0231333869	293.201976	293.200985	293.199995	293.201976	0.000990861704	0	0	0	0	0	3
3	3	0	0.0347000803	293.203433	293.201801	293.199995	293.203433	0.00180670272	0	0	0	0	0	3
4	4	0	0.0462667737	293.204451	293.202464	293.199995	293.204451	0.00246911922	0	0	0	0	0	3
5	4	0	0.0578334671	293.205633	293.203098	293.199995	293.205633	0.00310292711	0	0	0	0	0	3
6	5	0	0.0694001606	293.207788	293.203879	293.199995	293.207788	0.00388474317	0	0	0	0	0	3
7	5	0	0.080966854	293.210345	293.204803	293.199995	293.210345	0.00480836019	0	0	0	0	0	3
8	6	0	0.0925335474	293.212857	293.20581	293.199995	293.212857	0.00581507414	0	0	0	0	0	3
9	6	0	0.104100241	293.214999	293.206831	293.199995	293.214999	0.00683615996	0	0	0	0	0	3
10	7	0	0.115666934	293.216576	293.207805	293.199995	293.216576	0.00781066977	0	0	0	0	0	3
11	7	0	0.127233628	293.217652	293.2087	293.199995	293.217652	0.00870581245	0	0	0	0	0	3
12	8	0	0.138800321	293.217459	293.20943	293.199995	293.217652	0.00943567212	0	0	0	0	0	3
13	8	0	0.150367015	293.216273	293.209957	293.199995	293.217652	0.00996205726	0	0	0	0	0	3
14	9	0	0.161933708	293.214569	293.210286	293.199995	293.217652	0.0102914785	0	0	0	0	0	3
15	9	0	0.173500401	293.212712	293.210448	293.199995	293.217652	0.010453175	0	0	0	0	0	3
16	10	0	0.185067095	293.210562	293.210455	293.199995	293.217652	0.0104603238	0	0	0	0	0	3
17	10	0	0.196633788	293.21063	293.210465	293.199995	293.217652	0.010470617	0	0	0	0	0	3
18	11	0	0.208200482	293.213368	293.210626	293.199995	293.217652	0.0106318699	0	0	0	0	0	3
19	11	0	0.219767175	293.21832	293.211031	293.199995	293.21832	0.0110367996	0	0	0	0	0	3
20	12	0	0.231333869	293.22454	293.211707	293.199995	293.22454	0.011712222	0	0	0	0	0	3
21	12	0	0.242900562	293.235005	293.212816	293.199995	293.235005	0.0128216646	0	0	0	0	0	3
22	13	0	0.254467255	293.243291	293.214201	293.199995	293.243291	0.0142068629	0	0	0	0	0	3
23	13	0	0.266033949	293.248157	293.215678	293.199995	293.248157	0.0156832106	0	0	0	0	0	3
24	14	0	0.277600642	293.249651	293.217093	293.199995	293.249651	0.0170987572	0	0	0	0	0	3
25	14	0	0.289167336	293.248478	293.218349	293.199995	293.249651	0.0183541378	0	0	0	0	0	3
26	15	0	0.300734029	293.245283	293.219385	293.199995	293.249651	0.0193900581	0	0	0	0	0	3
27	16	0	0.312300723	293.244295	293.220307	293.199995	293.249651	0.0203126802	0	0	0	0	0	3
28	16	0	0.323867416	293.245952	293.221223	293.199995	293.249651	0.0212285762	0	0	0	0	0	3
29	17	0	0.335434109	293.249205	293.222188	293.199995	293.249651	0.0221934832	0	0	0	0	0	3
