Iteration	CPUTime	PhysTime	Travels
1	4	0	0.00990857748
2	5	0	0.019817155
3	5	0	0.0297257324
4	6	0	0.0396343099
5	7	0	0.0495428874
6	7	0	0.0594514649
7	8	0	0.0693600424
8	9	0	0.0792686198
9	9	0	0.0891771973
10	10	0	0.0990857748
11	10	0	0.108994352
12	11	0	0.11890293
13	12	0	0.128811507
14	12	0	0.138720085
15	13	0	0.148628662
16	14	0	0.15853724
17	14	0	0.168445817
18	15	0	0.178354395
19	16	0	0.188262972
20	16	0	0.19817155
21	17	0	0.208080127
22	18	0	0.217988705
23	19	0	0.227897282
24	19	0	0.23780586
25	20	0	0.247714437
26	21	0	0.257623014
27	22	0	0.267531592
28	23	0	0.277440169
29	23	0	0.287348747
30	24	0	0.297257324
31	25	0	0.307165902
32	25	0	0.317074479
33	26	0	0.326983057
34	27	0	0.336891634
35	27	0	0.346800212
36	28	0	0.356708789
37	29	0	0.366617367
38	30	0	0.376525944
39	30	0	0.386434522
40	31	0	0.396343099
41	32	0	0.406251677
42	32	0	0.416160254
43	33	0	0.426068832
44	34	0	0.435977409
45	35	0	0.445885987
46	35	0	0.455794564
47	36	0	0.465703142
48	37	0	0.475611719
49	37	0	0.485520297
50	38	0	0.495428874
51	39	0	0.505337451
52	39	0	0.515246029
53	40	0	0.525154606
54	41	0	0.535063184
55	41	0	0.544971761
56	42	0	0.554880339
57	43	0	0.564788916
58	44	0	0.574697494
59	44	0	0.584606071
60	45	0	0.594514649
61	46	0	0.604423226
62	47	0	0.614331804
63	47	0	0.624240381
64	48	0	0.634148959
65	49	0	0.644057536
66	50	0	0.653966114
67	50	0	0.663874691
68	51	0	0.673783269
69	52	0	0.683691846
70	52	0	0.693600424
71	53	0	0.703509001
72	54	0	0.713417579
73	54	0	0.723326156
74	55	0	0.733234734
75	56	0	0.743143311
76	57	0	0.753051888
77	57	0	0.762960466
78	58	0	0.772869043
79	59	0	0.782777621
80	60	0	0.792686198
81	60	0	0.802594776
82	61	0	0.812503353
83	62	0	0.822411931
84	62	0	0.832320508
85	63	0	0.842229086
86	64	0	0.852137663
87	64	0	0.862046241
88	65	0	0.871954818
89	66	0	0.881863396
90	67	0	0.891771973
91	67	0	0.901680551
92	68	0	0.911589128
93	69	0	0.921497706
94	69	0	0.931406283
95	70	0	0.941314861
96	71	0	0.951223438
97	71	0	0.961132016
98	72	0	0.971040593
99	73	0	0.980949171
100	74	0	0.990857748
101	76	0	1.00076633
102	77	0	1.0106749
103	77	0	1.02058348
104	78	0	1.03049206
105	79	0	1.04040064
106	79	0	1.05030921
107	80	0	1.06021779
108	81	0	1.07012637
109	82	0	1.08003495
110	82	0	1.08994352
111	83	0	1.0998521
112	84	0	1.10976068
113	84	0	1.11966926
114	85	0	1.12957783
115	86	0	1.13948641
116	87	0	1.14939499
117	87	0	1.15930357
118	88	0	1.16921214
119	89	0	1.17912072
120	89	0	1.1890293
121	90	0	1.19893788
122	91	0	1.20884645
123	92	0	1.21875503
124	92	0	1.22866361
125	93	0	1.23857219
126	94	0	1.24848076
127	94	0	1.25838934
128	95	0	1.26829792
129	96	0	1.27820649
130	96	0	1.28811507
131	97	0	1.29802365
132	98	0	1.30793223
133	99	0	1.3178408
134	99	0	1.32774938
135	100	0	1.33765796
136	101	0	1.34756654
137	101	0	1.35747511
138	102	0	1.36738369
139	103	0	1.37729227
140	103	0	1.38720085
141	104	0	1.39710942
142	105	0	1.407018
143	106	0	1.41692658
144	106	0	1.42683516
145	107	0	1.43674373
146	108	0	1.44665231
147	108	0	1.45656089
148	109	0	1.46646947
