Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00739897968	0.899016058	0.899016058	0.899016058	0.899016058	0	0	0	0	0	0	3
2	13	0	0.0147979594	1.69842594	1.298721	0.899016058	1.69842594	0.399704942	0	0	0	0	0	3
3	15	0	0.022196939	2.51859584	1.70534595	0.899016058	2.51859584	0.80632989	0	0	0	0	0	3
4	17	0	0.0295959187	3.33385657	2.1124736	0.899016058	3.33385657	1.21345755	0	0	0	0	0	3
5	19	0	0.0369948984	4.13414566	2.51680802	0.899016058	4.13414566	1.61779196	0	0	0	0	0	3
6	21	0	0.0443938781	4.9270338	2.91851231	0.899016058	4.9270338	2.01949625	0	0	0	0	0	3
7	23	0	0.0517928578	5.60575383	3.30240396	0.899016058	5.60575383	2.4033879	0	0	0	0	0	3
8	25	0	0.0591918375	6.12354332	3.65504638	0.899016058	6.12354332	2.75603032	0	0	0	0	0	3
9	27	0	0.0665908171	6.56250344	3.97809716	0.899016058	6.56250344	3.07908111	0	0	0	0	0	3
10	29	0	0.0739897968	6.84939314	4.26522676	0.899016058	6.84939314	3.3662107	0	0	0	0	0	3
11	32	0	0.0813887765	6.75968731	4.4919959	0.899016058	6.84939314	3.59297984	0	0	0	0	0	3
12	34	0	0.0887877562	6.31488368	4.64390322	0.899016058	6.84939314	3.74488716	0	0	0	0	0	3
13	36	0	0.0961867359	5.80640127	4.73332614	0.899016058	6.84939314	3.83431009	0	0	0	0	0	3
14	38	0	0.103585716	5.23118641	4.76888759	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
15	40	0	0.110984695	4.67645198	4.76272522	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
16	42	0	0.118383675	4.12388324	4.72279759	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
17	44	0	0.125782655	3.59552394	4.65648738	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
18	46	0	0.133181634	3.0679885	4.56823744	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
19	48	0	0.140580614	2.53626045	4.46129128	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
20	51	0	0.147979594	2.05209311	4.34083138	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
21	53	0	0.155378573	1.67152596	4.21372159	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
22	55	0	0.162777553	1.42675221	4.08704117	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
23	57	0	0.170176533	1.26161512	3.96419656	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
24	60	0	0.177575512	1.14059722	3.84654658	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
25	62	0	0.184974492	1.02430225	3.73365681	0.899016058	6.84939314	3.86987153	0	0	0	0	0	3
26	65	0	0.192373472	0.867330973	3.62341351	0.867330973	6.84939314	3.86987153	0	0	0	0	0	3
27	68	0	0.199772451	0.69323851	3.51488851	0.69323851	6.84939314	3.86987153	0	0	0	0	0	3
28	71	0	0.207171431	0.526577616	3.40816312	0.526577616	6.84939314	3.86987153	0	0	0	0	0	3
29	73	0	0.214570411	0.390144212	3.3040935	0.390144212	6.84939314	3.86987153	0	0	0	0	0	3
30	75	0	0.22196939	0.313130168	3.20439473	0.313130168	6.84939314	3.86987153	0	0	0	0	0	3
31	77	0	0.22936837	0.288543198	3.110335	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
32	79	0	0.23676735	0.320330571	3.02314736	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
33	81	0	0.244166329	0.365477711	2.94261192	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
34	84	0	0.251565309	0.410225633	2.86812997	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
35	86	0	0.258964289	0.44684748	2.79895047	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
36	88	0	0.266363269	0.475874461	2.73442058	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
37	91	0	0.273762248	0.495604186	2.67391203	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
38	93	0	0.281161228	0.508686565	2.61693241	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
39	95	0	0.288560208	0.515498386	2.56304949	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
40	97	0	0.295959187	0.518774715	2.51194262	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
41	99	0	0.303358167	0.514475963	2.46322392	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
42	102	0	0.310757147	0.50477305	2.41659414	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
43	105	0	0.318156126	0.497525815	2.37196464	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
44	107	0	0.325555106	0.495742362	2.32932322	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
45	110	0	0.332954086	0.497237954	2.28861022	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
46	112	0	0.340353065	0.498411608	2.24969286	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
47	114	0	0.347752045	0.498482096	2.21243305	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
48	116	0	0.355151025	0.495889234	2.17667172	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
49	119	0	0.362550004	0.49137387	2.14227789	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
50	121	0	0.369948984	0.485590616	2.10914414	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
51	123	0	0.377347964	0.480730747	2.07721447	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
52	125	0	0.384746943	0.476903359	2.04643926	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
53	128	0	0.392145923	0.474460953	2.01677929	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
54	130	0	0.399544903	0.472013939	1.98817252	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
55	132	0	0.406943882	0.469939736	1.96056829	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
56	134	0	0.414342862	0.46772827	1.93391043	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
57	137	0	0.421741842	0.465715929	1.90815263	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
58	139	0	0.429140822	0.463144203	1.8832387	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
59	141	0	0.436539801	0.460326107	1.85912153	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
60	143	0	0.443938781	0.457046082	1.83575361	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
61	145	0	0.451337761	0.453684431	1.81309674	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
62	148	0	0.45873674	0.450093653	1.79111282	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
63	150	0	0.46613572	0.446694143	1.76977284	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
64	152	0	0.4735347	0.443406714	1.74904837	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
65	154	0	0.480933679	0.440511901	1.72891704	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
66	156	0	0.488332659	0.437963557	1.70935714	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
67	158	0	0.495731639	0.43557826	1.69034551	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
68	160	0	0.503130618	0.433877084	1.67186803	0.288543198	6.84939314	3.86987153	0	0	0	0	0	3
69	162	0	0.510529598	0.432173758	1.66500271	0.288543198	6.84939314	3.47016659	0	0	0	0	0	3
70	165	0	0.517928578	0.431234406	1.64636754	0.288543198	6.84939314	3.12252006	0	0	0	0	0	3
71	167	0	0.525327557	0.430556381	1.61566107	0.288543198	6.84939314	3.15322652	0	0	0	0	0	3
72	169	0	0.532726537	0.430116055	1.57295901	0.288543198	6.84939314	3.19592859	0	0	0	0	0	3
73	171	0	0.540125517	0.429233535	1.51847501	0.288543198	6.84939314	3.25041259	0	0	0	0	0	3
74	173	0	0.547524496	0.428530439	1.45232054	0.288543198	6.84939314	3.31656705	0	0	0	0	0	3
75	175	0	0.554923476	0.427848766	1.37617488	0.288543198	6.84939314	3.39271271	0	0	0	0	0	3
76	177	0	0.562322456	0.427260871	1.29240602	0.288543198	6.84939314	3.47648157	0	0	0	0	0	3
77	179	0	0.569721435	0.426278224	1.20216742	0.288543198	6.84939314	3.56672018	0	0	0	0	0	3
78	181	0	0.577120415	0.42555128	1.10769915	0.288543198	6.75968731	3.66118844	0	0	0	0	0	3
79	183	0	0.584519395	0.425008933	1.01454212	0.288543198	6.31488368	3.75434547	0	0	0	0	0	3
80	186	0	0.591918375	0.424547987	0.927919534	0.288543198	5.80640127	3.84096806	0	0	0	0	0	3
81	188	0	0.599317354	0.424201012	0.84876953	0.288543198	5.23118641	3.92011806	0	0	0	0	0	3
82	190	0	0.606716334	0.423720554	0.778071503	0.288543198	4.67645198	3.98465371	0	0	0	0	0	3
83	192	0	0.614115314	0.423445188	0.715527286	0.288543198	4.12388324	3.83534004	0	0	0	0	0	3
84	194	0	0.621514293	0.423026335	0.661102919	0.288543198	3.59552394	3.30698074	0	0	0	0	0	3
85	197	0	0.628913273	0.422385101	0.614439113	0.288543198	3.0679885	2.77944531	0	0	0	0	0	3
86	199	0	0.636312253	0.421760984	0.575524002	0.288543198	2.53626045	2.24771725	0	0	0	0	0	3
87	201	0	0.643711232	0.421018548	0.544417504	0.288543198	2.05209311	1.76354991	0	0	0	0	0	3
88	203	0	0.651110212	0.420301361	0.520420566	0.288543198	1.67152596	1.38298276	0	0	0	0	0	3
89	205	0	0.658509192	0.419714224	0.50201157	0.288543198	1.42675221	1.13820902	0	0	0	0	0	3
90	207	0	0.665908171	0.419025678	0.487192062	0.288543198	1.26161512	0.973071926	0	0	0	0	0	3
91	209	0	0.673307151	0.418254077	0.474789694	0.288543198	1.14059722	0.852054023	0	0	0	0	0	3
92	211	0	0.680706131	0.41775939	0.464159726	0.288543198	1.02430225	0.735759056	0	0	0	0	0	3
93	213	0	0.68810511	0.416986313	0.455228609	0.288543198	0.867330973	0.578787775	0	0	0	0	0	3
94	216	0	0.69550409	0.416391472	0.448597146	0.288543198	0.69323851	0.404695312	0	0	0	0	0	3
95	218	0	0.70290307	0.415931062	0.444519095	0.288543198	0.526577616	0.238034418	0	0	0	0	0	3
96	220	0	0.710302049	0.415410506	0.442884285	0.288543198	0.518774715	0.230231517	0	0	0	0	0	3
97	222	0	0.717701029	0.41482363	0.443247217	0.288543198	0.518774715	0.230231517	0	0	0	0	0	3
98	224	0	0.725100009	0.414311344	0.444735176	0.288543198	0.518774715	0.230231517	0	0	0	0	0	3
99	226	0	0.732498988	0.413832904	0.446577671	0.320330571	0.518774715	0.198444144	0	0	0	0	0	3
100	228	0	0.739897968	0.413102874	0.44794197	0.365477711	0.518774715	0.153297005	0	0	0	0	0	3
101	234	0	0.747296948	0.412527033	0.448633872	0.410225633	0.518774715	0.108549082	0	0	0	0	0	3
102	236	0	0.754695928	0.41204756	0.448660665	0.41204756	0.518774715	0.106727156	0	0	0	0	0	3
103	238	0	0.762094907	0.411111559	0.448135137	0.411111559	0.518774715	0.107663156	0	0	0	0	0	3
104	240	0	0.769493887	0.410712523	0.447176873	0.410712523	0.518774715	0.108062192	0	0	0	0	0	3
105	243	0	0.776892867	0.409939597	0.445917099	0.409939597	0.518774715	0.108835119	0	0	0	0	0	3
106	245	0	0.784291846	0.409268306	0.444455066	0.409268306	0.518774715	0.109506409	0	0	0	0	0	3
107	247	0	0.791690826	0.408785298	0.442885756	0.408785298	0.518774715	0.109989417	0	0	0	0	0	3
108	248	0	0.799089806	0.408190067	0.441259511	0.408190067	0.514475963	0.106285896	0	0	0	0	0	3
109	250	0	0.806488785	0.407931365	0.439692679	0.407931365	0.50477305	0.0968416848	0	0	0	0	0	3
110	252	0	0.813887765	0.407540505	0.438262789	0.407540505	0.498482096	0.0909415905	0	0	0	0	0	3
111	254	0	0.821286745	0.407318598	0.436936212	0.407318598	0.498482096	0.0911634976	0	0	0	0	0	3
112	256	0	0.828685724	0.407166	0.435633618	0.407166	0.498482096	0.0913160963	0	0	0	0	0	3
113	258	0	0.836084704	0.406827359	0.434304051	0.406827359	0.498482096	0.0916547368	0	0	0	0	0	3
114	260	0	0.843483684	0.406423096	0.432951279	0.406423096	0.498482096	0.0920590003	0	0	0	0	0	3
115	262	0	0.850882663	0.406166146	0.431593691	0.406166146	0.495889234	0.0897230872	0	0	0	0	0	3
