Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00739897968	2.55430027	2.55430027	2.55430027	2.55430027	0	0	0	0	0	0	3
2	13	0	0.0147979594	3.82249167	3.18839597	2.55430027	3.82249167	0.634095704	0	0	0	0	0	3
3	15	0	0.022196939	3.46310922	3.27996705	2.55430027	3.82249167	0.725666788	0	0	0	0	0	3
4	17	0	0.0295959187	2.2257319	3.01640827	2.2257319	3.82249167	0.725666788	0	0	0	0	0	3
5	19	0	0.0369948984	0.439288862	2.50098439	0.439288862	3.82249167	0.778982669	0	0	0	0	0	3
6	21	0	0.0443938781	-1.19567616	1.88487429	-1.19567616	3.82249167	1.39509276	0	0	0	0	0	3
7	23	0	0.0517928578	-2.42675245	1.26892762	-2.42675245	3.82249167	2.01103944	0	0	0	0	0	3
8	25	0	0.0591918375	-1.31287253	0.946202598	-2.42675245	3.82249167	2.33376446	0	0	0	0	0	3
9	27	0	0.0665908171	2.00592965	1.06395005	-2.42675245	3.82249167	2.33376446	0	0	0	0	0	3
10	29	0	0.0739897968	5.19690554	1.4772456	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
11	32	0	0.0813887765	4.40879397	1.74374999	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
12	34	0	0.0887877562	3.6021782	1.89861901	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
13	36	0	0.0961867359	2.32739107	1.93160148	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
14	38	0	0.103585716	2.68061516	1.98510245	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
15	40	0	0.110984695	2.78099114	2.0381617	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
16	42	0	0.118383675	3.42502264	2.12484051	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
17	44	0	0.125782655	3.99542721	2.23487502	-2.42675245	5.19690554	2.33376446	0	0	0	0	0	3
