Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00877207196	10.7292864	10.7292864	10.7292864	10.7292864	0	0	0	0	0	0	3
2	11	0	0.0175441439	20.0984023	15.4138444	10.7292864	20.0984023	4.68455796	0	0	0	0	0	3
3	13	0	0.0263162159	30.1045315	20.3107401	10.7292864	30.1045315	9.58145367	0	0	0	0	0	3
4	15	0	0.0350882879	40.0908836	25.2557759	10.7292864	40.0908836	14.5264896	0	0	0	0	0	3
5	17	0	0.0438603598	49.6760733	30.1398354	10.7292864	49.6760733	19.410549	0	0	0	0	0	3
6	19	0	0.0526324318	58.1826999	34.8136462	10.7292864	58.1826999	24.0843598	0	0	0	0	0	3
7	21	0	0.0614045037	63.7019311	38.940544	10.7292864	63.7019311	28.2112576	0	0	0	0	0	3
8	23	0	0.0701765757	67.7292972	42.5391382	10.7292864	67.7292972	31.8098518	0	0	0	0	0	3
9	25	0	0.0789486477	70.974786	45.6986546	10.7292864	70.974786	34.9693682	0	0	0	0	0	3
10	27	0	0.0877207196	72.2153384	48.350323	10.7292864	72.2153384	37.6210366	0	0	0	0	0	3
11	29	0	0.0964927916	68.2621114	50.1604856	10.7292864	72.2153384	39.4311992	0	0	0	0	0	3
12	30	0	0.105264864	61.8672004	51.1360451	10.7292864	72.2153384	40.4067588	0	0	0	0	0	3
13	32	0	0.114036936	55.5775047	51.4776959	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
14	34	0	0.122809007	48.9570062	51.2976466	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
15	36	0	0.131581079	42.701047	50.72454	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
16	39	0	0.140353151	36.4907067	49.8349254	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
17	41	0	0.149125223	31.5737149	48.7607365	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
18	43	0	0.157897295	27.7484683	47.5933883	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
19	45	0	0.166669367	24.5845218	46.3823953	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
20	47	0	0.175441439	22.0300233	45.1647767	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
21	48	0	0.184213511	19.8734249	43.9604266	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
22	50	0	0.192985583	18.0917177	42.7845762	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
23	52	0	0.201757655	16.4476721	41.6394934	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
24	54	0	0.210529727	14.7090788	40.5173928	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
25	56	0	0.219301799	12.8301996	39.4099051	10.7292864	72.2153384	40.7484095	0	0	0	0	0	3
26	58	0	0.228073871	10.5938855	38.3015967	10.5938855	72.2153384	40.7484095	0	0	0	0	0	3
27	60	0	0.236845943	8.87264219	37.2116354	8.87264219	72.2153384	40.7484095	0	0	0	0	0	3
28	62	0	0.245618015	7.95679676	36.1668197	7.95679676	72.2153384	40.7484095	0	0	0	0	0	3
29	64	0	0.254390087	7.77262768	35.1877096	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
30	65	0	0.263162159	8.08533403	34.2842971	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
31	67	0	0.271934231	8.84186742	33.4635736	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
32	69	0	0.280706303	9.67081732	32.72005	7.77262768	72.2153384	40.7484095	0	0	0	0	0	3
