Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.00877207196	0	0	0	0	0	0	0	0	0	0	3
2	11	0	0.0175441439	0	0	0	0	0	0	0	0	0	0	3
3	13	0	0.0263162159	0	0	0	0	0	0	0	0	0	0	3
4	15	0	0.0350882879	0	0	0	0	0	0	0	0	0	0	3
5	17	0	0.0438603598	0	0	0	0	0	0	0	0	0	0	3
6	19	0	0.0526324318	0	0	0	0	0	0	0	0	0	0	3
7	21	0	0.0614045037	0	0	0	0	0	0	0	0	0	0	3
8	23	0	0.0701765757	0	0	0	0	0	0	0	0	0	0	3
9	25	0	0.0789486477	0	0	0	0	0	0	0	0	0	0	3
10	27	0	0.0877207196	0	0	0	0	0	0	0	0	0	0	3
11	29	0	0.0964927916	0	0	0	0	0	0	0	0	0	0	3
12	30	0	0.105264864	0	0	0	0	0	0	0	0	0	0	3
13	32	0	0.114036936	0	0	0	0	0	0	0	0	0	0	3
14	34	0	0.122809007	0	0	0	0	0	0	0	0	0	0	3
15	36	0	0.131581079	0	0	0	0	0	0	0	0	0	0	3
16	39	0	0.140353151	0	0	0	0	0	0	0	0	0	0	3
17	41	0	0.149125223	0	0	0	0	0	0	0	0	0	0	3
18	43	0	0.157897295	0	0	0	0	0	0	0	0	0	0	3
19	45	0	0.166669367	0	0	0	0	0	0	0	0	0	0	3
20	47	0	0.175441439	0	0	0	0	0	0	0	0	0	0	3
21	48	0	0.184213511	0	0	0	0	0	0	0	0	0	0	3
22	50	0	0.192985583	0	0	0	0	0	0	0	0	0	0	3
23	52	0	0.201757655	0	0	0	0	0	0	0	0	0	0	3
24	54	0	0.210529727	0	0	0	0	0	0	0	0	0	0	3
25	56	0	0.219301799	0	0	0	0	0	0	0	0	0	0	3
26	58	0	0.228073871	0	0	0	0	0	0	0	0	0	0	3
27	60	0	0.236845943	0	0	0	0	0	0	0	0	0	0	3
28	62	0	0.245618015	0	0	0	0	0	0	0	0	0	0	3
29	64	0	0.254390087	0	0	0	0	0	0	0	0	0	0	3
30	65	0	0.263162159	0	0	0	0	0	0	0	0	0	0	3
31	67	0	0.271934231	0	0	0	0	0	0	0	0	0	0	3
32	69	0	0.280706303	0	0	0	0	0	0	0	0	0	0	3
33	71	0	0.289478375	0	0	0	0	0	0	0	0	0	0	3
34	73	0	0.298250447	0	0	0	0	0	0	0	0	0	0	3
35	75	0	0.307022519	0	0	0	0	0	0	0	0	0	0	3
36	77	0	0.315794591	0	0	0	0	0	0	0	0	0	0	3
37	79	0	0.324566663	0	0	0	0	0	0	0	0	0	0	3
38	82	0	0.333338735	0	0	0	0	0	0	0	0	0	0	3
39	84	0	0.342110807	0	0	0	0	0	0	0	0	0	0	3
40	86	0	0.350882879	0	0	0	0	0	0	0	0	0	0	3
41	88	0	0.359654951	0	0	0	0	0	0	0	0	0	0	3
42	90	0	0.368427022	0	0	0	0	0	0	0	0	0	0	3
43	92	0	0.377199094	0	0	0	0	0	0	0	0	0	0	3
44	94	0	0.385971166	0	0	0	0	0	0	0	0	0	0	3
45	96	0	0.394743238	0	0	0	0	0	0	0	0	0	0	3
46	98	0	0.40351531	0	0	0	0	0	0	0	0	0	0	3
47	100	0	0.412287382	0	0	0	0	0	0	0	0	0	0	3
48	102	0	0.421059454	0	0	0	0	0	0	0	0	0	0	3
49	104	0	0.429831526	0	0	0	0	0	0	0	0	0	0	3
50	105	0	0.438603598	0	0	0	0	0	0	0	0	0	0	3
51	107	0	0.44737567	0	0	0	0	0	0	0	0	0	0	3
52	109	0	0.456147742	0	0	0	0	0	0	0	0	0	0	3
53	111	0	0.464919814	0	0	0	0	0	0	0	0	0	0	3
54	113	0	0.473691886	0	0	0	0	0	0	0	0	0	0	3
55	115	0	0.482463958	0	0	0	0	0	0	0	0	0	0	3
56	117	0	0.49123603	0	0	0	0	0	0	0	0	0	0	3
57	119	0	0.500008102	0	0	0	0	0	0	0	0	0	0	3
58	121	0	0.508780174	0	0	0	0	0	0	0	0	0	0	3
59	123	0	0.517552246	0	0	0	0	0	0	0	0	0	0	3
60	125	0	0.526324318	0	0	0	0	0	0	0	0	0	0	3
61	127	0	0.53509639	0	0	0	0	0	0	0	0	0	0	3
62	129	0	0.543868462	0	0	0	0	0	0	0	0	0	0	3
63	131	0	0.552640534	0	0	0	0	0	0	0	0	0	0	3
64	133	0	0.561412606	0	0	0	0	0	0	0	0	0	0	3
65	135	0	0.570184678	0	0	0	0	0	0	0	0	0	0	3
66	137	0	0.57895675	0	0	0	0	0	0	0	0	0	0	3
67	139	0	0.587728822	0	0	0	0	0	0	0	0	0	0	3
68	141	0	0.596500894	0	0	0	0	0	0	0	0	0	0	3
69	143	0	0.605272966	0	0	0	0	0	0	0	0	0	0	3
70	145	0	0.614045037	0	0	0	0	0	0	0	0	0	0	3
71	147	0	0.622817109	0	0	0	0	0	0	0	0	0	0	3
72	148	0	0.631589181	0	0	0	0	0	0	0	0	0	0	3
73	151	0	0.640361253	0	0	0	0	0	0	0	0	0	0	3
74	154	0	0.649133325	0	0	0	0	0	0	0	0	0	0	3
75	157	0	0.657905397	0	0	0	0	0	0	0	0	0	0	3
76	160	0	0.666677469	0	0	0	0	0	0	0	0	0	0	3
77	163	0	0.675449541	0	0	0	0	0	0	0	0	0	0	3
78	166	0	0.684221613	0	0	0	0	0	0	0	0	0	0	3
79	168	0	0.692993685	0	0	0	0	0	0	0	0	0	0	3
80	170	0	0.701765757	0	0	0	0	0	0	0	0	0	0	3
81	172	0	0.710537829	0	0	0	0	0	0	0	0	0	0	3
82	175	0	0.719309901	0	0	0	0	0	0	0	0	0	0	3
83	177	0	0.728081973	0	0	0	0	0	0	0	0	0	0	3
84	179	0	0.736854045	0	0	0	0	0	0	0	0	0	0	3
85	181	0	0.745626117	0	0	0	0	0	0	0	0	0	0	3
86	183	0	0.754398189	0	0	0	0	0	0	0	0	0	0	3
87	185	0	0.763170261	0	0	0	0	0	0	0	0	0	0	3
88	187	0	0.771942333	0	0	0	0	0	0	0	0	0	0	3
89	189	0	0.780714405	0	0	0	0	0	0	0	0	0	0	3
90	191	0	0.789486477	0	0	0	0	0	0	0	0	0	0	3
91	193	0	0.798258549	0	0	0	0	0	0	0	0	0	0	3
92	195	0	0.807030621	0	0	0	0	0	0	0	0	0	0	3
93	197	0	0.815802693	0	0	0	0	0	0	0	0	0	0	3
94	199	0	0.824574765	0	0	0	0	0	0	0	0	0	0	3
95	201	0	0.833346837	0	0	0	0	0	0	0	0	0	0	3
96	203	0	0.842118909	0	0	0	0	0	0	0	0	0	0	3
97	204	0	0.85089098	0	0	0	0	0	0	0	0	0	0	3
