Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00739897968	101326.381	101326.381	101326.381	101326.381	0	0	0	0	0	0	3
2	13	0	0.0147979594	101329.303	101327.842	101326.381	101329.303	1.46075152	0	0	0	0	0	3
3	15	0	0.022196939	101334.402	101330.029	101326.381	101334.402	3.64748987	0	0	0	0	0	3
4	17	0	0.0295959187	101342.512	101333.149	101326.381	101342.512	6.76833392	0	0	0	0	0	3
5	19	0	0.0369948984	101354.695	101337.458	101326.381	101354.695	11.0773718	0	0	0	0	0	3
6	21	0	0.0443938781	101374.111	101343.567	101326.381	101374.111	17.1861348	0	0	0	0	0	3
7	23	0	0.0517928578	101401.033	101351.777	101326.381	101401.033	25.395511	0	0	0	0	0	3
8	25	0	0.0591918375	101436.901	101362.417	101326.381	101436.901	36.0361095	0	0	0	0	0	3
9	27	0	0.0665908171	101486.036	101376.153	101326.381	101486.036	49.7715625	0	0	0	0	0	3
10	29	0	0.0739897968	101550.228	101393.56	101326.381	101550.228	67.1791113	0	0	0	0	0	3
11	32	0	0.0813887765	101634.696	101415.482	101326.381	101634.696	89.1005662	0	0	0	0	0	3
12	34	0	0.0887877562	101701.046	101439.279	101326.381	101701.046	112.897561	0	0	0	0	0	3
13	36	0	0.0961867359	101760.398	101463.98	101326.381	101760.398	137.59903	0	0	0	0	0	3
14	38	0	0.103585716	101811.298	101488.789	101326.381	101811.298	162.407459	0	0	0	0	0	3
15	40	0	0.110984695	101838.326	101512.091	101326.381	101838.326	185.709958	0	0	0	0	0	3
16	42	0	0.118383675	101810.181	101530.722	101326.381	101838.326	204.340572	0	0	0	0	0	3
17	44	0	0.125782655	101714.823	101541.551	101326.381	101838.326	215.170047	0	0	0	0	0	3
18	46	0	0.133181634	101570.524	101543.161	101326.381	101838.326	216.779641	0	0	0	0	0	3
19	48	0	0.140580614	101404.527	101535.864	101326.381	101838.326	216.779641	0	0	0	0	0	3
20	51	0	0.147979594	101245.512	101521.347	101245.512	101838.326	216.779641	0	0	0	0	0	3
21	53	0	0.155378573	101078.563	101500.262	101078.563	101838.326	216.779641	0	0	0	0	0	3
22	55	0	0.162777553	100996.6	101477.368	100996.6	101838.326	216.779641	0	0	0	0	0	3
23	57	0	0.170176533	100977.747	101455.645	100977.747	101838.326	216.779641	0	0	0	0	0	3
24	60	0	0.177575512	100994.345	101436.425	100977.747	101838.326	216.779641	0	0	0	0	0	3
25	62	0	0.184974492	101030.584	101420.191	100977.747	101838.326	216.779641	0	0	0	0	0	3
26	65	0	0.192373472	101123.035	101408.762	100977.747	101838.326	216.779641	0	0	0	0	0	3
27	68	0	0.199772451	101223.981	101401.918	100977.747	101838.326	216.779641	0	0	0	0	0	3
28	71	0	0.207171431	101321.094	101399.032	100977.747	101838.326	216.779641	0	0	0	0	0	3
29	73	0	0.214570411	101398.035	101398.997	100977.747	101838.326	216.779641	0	0	0	0	0	3
30	75	0	0.22196939	101440.785	101400.39	100977.747	101838.326	216.779641	0	0	0	0	0	3
31	77	0	0.22936837	101439.437	101401.65	100977.747	101838.326	216.779641	0	0	0	0	0	3
32	79	0	0.23676735	101395.54	101401.459	100977.747	101838.326	216.779641	0	0	0	0	0	3
33	81	0	0.244166329	101343.419	101399.7	100977.747	101838.326	216.779641	0	0	0	0	0	3
34	84	0	0.251565309	101304.157	101396.89	100977.747	101838.326	216.779641	0	0	0	0	0	3
35	86	0	0.258964289	101282.653	101393.626	100977.747	101838.326	216.779641	0	0	0	0	0	3
36	88	0	0.266363269	101271.484	101390.233	100977.747	101838.326	216.779641	0	0	0	0	0	3
37	91	0	0.273762248	101271.972	101387.037	100977.747	101838.326	216.779641	0	0	0	0	0	3
38	93	0	0.281161228	101274.456	101384.074	100977.747	101838.326	216.779641	0	0	0	0	0	3
39	95	0	0.288560208	101275.832	101381.299	100977.747	101838.326	216.779641	0	0	0	0	0	3
40	97	0	0.295959187	101275.811	101378.662	100977.747	101838.326	216.779641	0	0	0	0	0	3
41	99	0	0.303358167	101276.436	101376.168	100977.747	101838.326	216.779641	0	0	0	0	0	3
42	102	0	0.310757147	101277.757	101373.825	100977.747	101838.326	216.779641	0	0	0	0	0	3
43	105	0	0.318156126	101279.725	101371.637	100977.747	101838.326	216.779641	0	0	0	0	0	3
44	107	0	0.325555106	101281.977	101369.599	100977.747	101838.326	216.779641	0	0	0	0	0	3
