Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00739897968	293.204583	293.204583	293.204583	293.204583	0	0	0	0	0	0	3
2	13	0	0.0147979594	293.210537	293.20756	293.204583	293.210537	0.00297721142	0	0	0	0	0	3
3	15	0	0.022196939	293.217144	293.210755	293.204583	293.217144	0.00617198771	0	0	0	0	0	3
4	17	0	0.0295959187	293.223798	293.214016	293.204583	293.223798	0.0094328171	0	0	0	0	0	3
5	19	0	0.0369948984	293.230697	293.217352	293.204583	293.230697	0.0127690793	0	0	0	0	0	3
6	21	0	0.0443938781	293.243902	293.221777	293.204583	293.243902	0.0171940404	0	0	0	0	0	3
7	23	0	0.0517928578	293.260359	293.227288	293.204583	293.260359	0.0227057592	0	0	0	0	0	3
8	25	0	0.0591918375	293.278609	293.233704	293.204583	293.278609	0.0291208258	0	0	0	0	0	3
9	27	0	0.0665908171	293.299631	293.241029	293.204583	293.299631	0.0364460729	0	0	0	0	0	3
10	29	0	0.0739897968	293.32406	293.249332	293.204583	293.32406	0.0447491747	0	0	0	0	0	3
11	32	0	0.0813887765	293.361822	293.259558	293.204583	293.361822	0.0549755826	0	0	0	0	0	3
12	34	0	0.0887877562	293.397539	293.271057	293.204583	293.397539	0.0664739744	0	0	0	0	0	3
13	36	0	0.0961867359	293.430475	293.28332	293.204583	293.430475	0.0787369307	0	0	0	0	0	3
14	38	0	0.103585716	293.459923	293.295934	293.204583	293.459923	0.0913514348	0	0	0	0	0	3
15	40	0	0.110984695	293.480785	293.308258	293.204583	293.480785	0.103674832	0	0	0	0	0	3
16	42	0	0.118383675	293.48584	293.319356	293.204583	293.48584	0.114773731	0	0	0	0	0	3
17	44	0	0.125782655	293.464542	293.327897	293.204583	293.48584	0.123314078	0	0	0	0	0	3
18	46	0	0.133181634	293.424515	293.333264	293.204583	293.48584	0.128681729	0	0	0	0	0	3
19	48	0	0.140580614	293.376129	293.335521	293.204583	293.48584	0.130937781	0	0	0	0	0	3
20	51	0	0.147979594	293.330105	293.33525	293.204583	293.48584	0.130937781	0	0	0	0	0	3
21	53	0	0.155378573	293.28523	293.332868	293.204583	293.48584	0.130937781	0	0	0	0	0	3
22	55	0	0.162777553	293.273805	293.330183	293.204583	293.48584	0.130937781	0	0	0	0	0	3
23	57	0	0.170176533	293.285151	293.328225	293.204583	293.48584	0.130937781	0	0	0	0	0	3
24	60	0	0.177575512	293.306715	293.327329	293.204583	293.48584	0.130937781	0	0	0	0	0	3
25	62	0	0.184974492	293.330937	293.327473	293.204583	293.48584	0.130937781	0	0	0	0	0	3
26	65	0	0.192373472	293.375417	293.329317	293.204583	293.48584	0.130937781	0	0	0	0	0	3
27	68	0	0.199772451	293.41137	293.332356	293.204583	293.48584	0.130937781	0	0	0	0	0	3
28	71	0	0.207171431	293.43796	293.336128	293.204583	293.48584	0.131545106	0	0	0	0	0	3
29	73	0	0.214570411	293.453859	293.340188	293.204583	293.48584	0.135604795	0	0	0	0	0	3
30	75	0	0.22196939	293.457081	293.344084	293.204583	293.48584	0.139501245	0	0	0	0	0	3
31	77	0	0.22936837	293.441152	293.347215	293.204583	293.48584	0.142632469	0	0	0	0	0	3
32	79	0	0.23676735	293.413961	293.349301	293.204583	293.48584	0.144718263	0	0	0	0	0	3
33	81	0	0.244166329	293.388412	293.350486	293.204583	293.48584	0.145903436	0	0	0	0	0	3
34	84	0	0.251565309	293.371865	293.351115	293.204583	293.48584	0.146532215	0	0	0	0	0	3
35	86	0	0.258964289	293.36546	293.351525	293.204583	293.48584	0.146942066	0	0	0	0	0	3
36	88	0	0.266363269	293.365815	293.351922	293.204583	293.48584	0.147339026	0	0	0	0	0	3
37	91	0	0.273762248	293.373502	293.352505	293.204583	293.48584	0.147922271	0	0	0	0	0	3
38	93	0	0.281161228	293.382225	293.353287	293.204583	293.48584	0.148704364	0	0	0	0	0	3
39	95	0	0.288560208	293.388431	293.354188	293.204583	293.48584	0.149605478	0	0	0	0	0	3
