Iteration	CPUTime	PhysTime	Travels
1	11	0	0.00739897968
2	13	0	0.0147979594
3	15	0	0.022196939
4	17	0	0.0295959187
5	19	0	0.0369948984
6	21	0	0.0443938781
7	23	0	0.0517928578
8	25	0	0.0591918375
9	27	0	0.0665908171
10	29	0	0.0739897968
11	32	0	0.0813887765
12	34	0	0.0887877562
13	36	0	0.0961867359
14	38	0	0.103585716
15	40	0	0.110984695
16	42	0	0.118383675
17	44	0	0.125782655
18	46	0	0.133181634
19	48	0	0.140580614
20	51	0	0.147979594
21	53	0	0.155378573
22	55	0	0.162777553
23	57	0	0.170176533
24	60	0	0.177575512
25	62	0	0.184974492
26	65	0	0.192373472
27	68	0	0.199772451
28	71	0	0.207171431
29	73	0	0.214570411
30	75	0	0.22196939
31	77	0	0.22936837
32	79	0	0.23676735
33	81	0	0.244166329
34	84	0	0.251565309
35	86	0	0.258964289
36	88	0	0.266363269
37	91	0	0.273762248
38	93	0	0.281161228
39	95	0	0.288560208
40	97	0	0.295959187
41	99	0	0.303358167
42	102	0	0.310757147
43	105	0	0.318156126
44	107	0	0.325555106
45	110	0	0.332954086
46	112	0	0.340353065
47	114	0	0.347752045
48	116	0	0.355151025
49	119	0	0.362550004
50	121	0	0.369948984
51	123	0	0.377347964
52	125	0	0.384746943
53	128	0	0.392145923
54	130	0	0.399544903
55	132	0	0.406943882
56	134	0	0.414342862
57	137	0	0.421741842
58	139	0	0.429140822
59	141	0	0.436539801
60	143	0	0.443938781
61	145	0	0.451337761
62	148	0	0.45873674
63	150	0	0.46613572
64	152	0	0.4735347
65	154	0	0.480933679
66	156	0	0.488332659
67	158	0	0.495731639
68	160	0	0.503130618
69	162	0	0.510529598
70	165	0	0.517928578
71	167	0	0.525327557
72	169	0	0.532726537
73	171	0	0.540125517
74	173	0	0.547524496
75	175	0	0.554923476
76	177	0	0.562322456
77	179	0	0.569721435
78	181	0	0.577120415
79	183	0	0.584519395
80	186	0	0.591918375
81	188	0	0.599317354
82	190	0	0.606716334
83	192	0	0.614115314
84	194	0	0.621514293
85	197	0	0.628913273
86	199	0	0.636312253
87	201	0	0.643711232
88	203	0	0.651110212
89	205	0	0.658509192
90	207	0	0.665908171
91	209	0	0.673307151
92	211	0	0.680706131
93	213	0	0.68810511
94	216	0	0.69550409
95	218	0	0.70290307
96	220	0	0.710302049
97	222	0	0.717701029
98	224	0	0.725100009
99	226	0	0.732498988
100	228	0	0.739897968
101	234	0	0.747296948
102	236	0	0.754695928
103	238	0	0.762094907
104	240	0	0.769493887
105	243	0	0.776892867
106	245	0	0.784291846
107	247	0	0.791690826
108	248	0	0.799089806
109	250	0	0.806488785
110	252	0	0.813887765
111	254	0	0.821286745
112	256	0	0.828685724
113	258	0	0.836084704
114	260	0	0.843483684
115	262	0	0.850882663
116	264	0	0.858281643
117	266	0	0.865680623
118	267	0	0.873079602
119	269	0	0.880478582
120	271	0	0.887877562
121	273	0	0.895276541
122	275	0	0.902675521
123	277	0	0.910074501
124	280	0	0.91747348
125	282	0	0.92487246
126	284	0	0.93227144
127	286	0	0.93967042
128	288	0	0.947069399
129	290	0	0.954468379
130	292	0	0.961867359
131	295	0	0.969266338
132	296	0	0.976665318
133	298	0	0.984064298
134	301	0	0.991463277
135	303	0	0.998862257
136	304	0	1.00626124
137	307	0	1.01366022
138	309	0	1.0210592
139	311	0	1.02845818
140	314	0	1.03585716
141	316	0	1.04325614
142	318	0	1.05065511
143	321	0	1.05805409
144	323	0	1.06545307
145	325	0	1.07285205
146	327	0	1.08025103
147	329	0	1.08765001
148	331	0	1.09504899
149	334	0	1.10244797
150	336	0	1.10984695
151	338	0	1.11724593
152	341	0	1.12464491
153	343	0	1.13204389
154	345	0	1.13944287
155	347	0	1.14684185
156	349	0	1.15424083
157	351	0	1.16163981
158	353	0	1.16903879
159	355	0	1.17643777
160	357	0	1.18383675
161	359	0	1.19123573
162	361	0	1.19863471
163	363	0	1.20603369
164	364	0	1.21343267
165	366	0	1.22083165
166	368	0	1.22823063
167	370	0	1.23562961
168	372	0	1.24302859
169	374	0	1.25042757
170	376	0	1.25782655
171	378	0	1.26522553
172	380	0	1.27262451
173	382	0	1.28002348
174	384	0	1.28742246
175	386	0	1.29482144
176	388	0	1.30222042
177	391	0	1.3096194
178	393	0	1.31701838
179	395	0	1.32441736
180	397	0	1.33181634
181	399	0	1.33921532
182	401	0	1.3466143
183	403	0	1.35401328
184	405	0	1.36141226
185	407	0	1.36881124
186	409	0	1.37621022
187	411	0	1.3836092
188	413	0	1.39100818
189	415	0	1.39840716
190	417	0	1.40580614
